Time,B-G,B-G error,TIme,G-R,G-R error,TIme,B-R,B-R error
2022.73774887618,0.3581447211055,0.132952103882966,2022.73775626459,0.2537722064534,0.138022704796328,2022.73775271306,0.6247764773738,0.082289598959208
2022.73774932006,0.4076413782626,0.129762573922762,2022.73775639141,0.2483987888192,0.14542796569077,2022.73775283988,0.2916537728846,0.0854150798602106
2022.73774976394,0.4635496796348,0.126821693502629,2022.73775718406,0.3434098763203,0.128398245551953,2022.73775283988,0.3179044206256,0.11942476217078
2022.73775115924,0.2339917627444,0.16554246728932,2022.73775750112,0.2663169121089,0.16526972293214,2022.73775296671,0.298230405991,0.0881965417441679
2022.7377514763,0.4230256646817,0.145921463174295,2022.73775762794,0.2992538079042,0.123851908093745,2022.73775391788,0.6549515523445,0.0872675309379198
2022.73775211065,0.8167788017421,0.151009949775938,2022.73775813547,0.2806461880429,0.123399643649697,2022.73775423518,1.0666650623128,0.236326579543057
2022.73775223748,0.6151493562369,0.132168720846241,2022.73775832571,0.2464966068858,0.13001392112196,2022.73775461565,0.9292715907328,0.0883141075253527
2022.73775271306,0.7580323385631,0.107997457020873,2022.73775864276,0.2192637682893,0.134926942885194,2022.73775544,0.9228997952224,0.185161954520167
2022.73775283988,0.4064836976349,0.110668961711261,2022.73775927688,0.2998207506542,0.128756679993549,2022.73775556682,0.702904809174,0.0860080788309765
2022.73775283988,0.4006972169555,0.122425426100588,2022.73775984783,0.2521277992047,0.120504643111719,2022.73775563023,0.4949641485854,0.0952736149220712
2022.73775296671,0.450016018904,0.125858837024113,2022.73776010147,0.21513520197,0.158077434185248,2022.73775626459,0.4654614306502,0.0951289247109017
2022.73775391788,0.3570143828465,0.124631095667521,2022.73776054535,0.3155908889358,0.138505814195078,2022.73775639141,0.525315465127,0.0945135198993085
2022.73775423518,0.4565926067404,0.119542183193549,2022.73776067218,0.320428536496,0.141082413072239,2022.73775702553,0.6456512654704,0.095657548127735
2022.73775461565,0.4541783742422,0.118735986766394,2022.73776098923,0.2690636677998,0.119426772169813,2022.73775718406,0.5704634498363,0.0904111029811114
2022.73775467906,0.4214238626459,0.112695127872417,2022.73776117947,0.3034171075922,0.117420763504417,2022.73775750112,0.665640922902,0.124653799653017
2022.73775480588,0.1725581412151,0.113421445892031,2022.73776159188,0.1722961802116,0.122319777301924,2022.73775762794,0.5650267899398,0.0893096063011325
2022.73775563023,0.2196221945819,0.247457840001554,2022.73776184553,0.2216754016426,0.115993176615525,2022.73775813547,0.6368339147893,0.100883594230176
2022.73775626459,0.2116892241968,0.11793881010308,2022.73776241623,0.2434254969036,0.128283416455917,2022.73775832571,0.4902024940435,0.0940744192200228
2022.737756328,0.260387029846,0.202753054018566,2022.73776260647,0.1174898136766,0.12472135630549,2022.73775864276,0.4022176148117,0.0989891054846434
2022.73775639141,0.2769166763078,0.122030706236735,2022.73776336741,0.1586887594221,0.124660270399679,2022.73775902323,0.2603928119746,0.0913607644408209
2022.73775677188,0.2733133557688,0.115818152470375,2022.73776387494,0.2813212030935,0.196193068317548,2022.73775927688,0.3831708086203,0.0856868520668312
2022.73775702553,-0.011645751435,0.141530368053746,2022.73776412859,0.2376287320036,0.152049141886122,2022.73775934029,0.2420651921321,0.0859172879082369
2022.73775718406,0.227053573516,0.13260313933749,2022.73776444564,0.3025547494326,0.141053086653212,2022.73775984783,0.3799830939732,0.084482978435704
2022.73775750112,0.3993240107931,0.14124774358181,2022.73776463588,0.2713702887129,0.1106430020116,2022.73776010147,0.3870864372578,0.0831084263231489
2022.73775762794,0.2657729820356,0.133149694383847,2022.7377647627,0.360924719149,0.113054685922467,2022.73776054535,0.422039014565,0.0843466347597367
2022.73775813547,0.3561877267464,0.131664380376781,2022.73776514317,0.3407897048251,0.112966038454316,2022.73776067218,0.2405397373739,0.16053993512561
2022.73775832571,0.2437058871577,0.122654948308123,2022.73776574582,0.3356288302346,0.116552472220637,2022.73776098923,0.1677595729744,0.132143959389021
2022.73775864276,0.1829538465224,0.130519428602605,2022.73776580923,0.2384877800724,0.119336348541499,2022.73776117947,0.244363564144,0.0876400538721364
2022.73775927688,0.0833500579661,0.109281014554171,2022.73776599947,0.4603680596776,0.117984004587963,2022.73776159188,0.1423427154129,0.0839074643030146
